id,canonical_name,property_type_std,district_normalized,district,cluster_area,address_road,lat,lng,status_std,room_count,entity_id,hongdae_zone,phone,license_date,property_type_raw,raw_status,raw_status_detail,raw_x,raw_y,source_priority,name_eng,floors_above,floors_below,building_area
20,나인브릭,hotel,마포구,마포구,홍대권,"서울특별시 마포구 홍익로5길 32 (서교동, 나인브릭)",37.553784,126.917679,active,94.0,20,hongdae_area,02-3141-8800,2017-02-21,관광호텔업,영업/정상,영업중,192911.642624498,450171.317352359,seoul_open_data,9BRICK,16.0,2.0,3784.07
21,에이치에비뉴 호텔 이대점,hotel,마포구,마포구,신촌권,서울특별시 마포구 신촌로 152 (노고산동),37.556239,126.939683,active,94.0,21,,0505-068-7207,2017-06-30,관광호텔업,영업/정상,영업중,194856.148175113,450442.424814188,seoul_open_data,H-AVENUE Hotel,13.0,2.0,2772.94
22,글래드호텔 마포,hotel,마포구,마포구,,"서울특별시 마포구 마포대로 92, 효성해링턴 스퀘어 (도화동)",37.543012,126.948298,active,378.0,22,,3704-8465,2017-12-29,관광호텔업,영업/정상,영업중,195616.580723896,448973.867131637,seoul_open_data,GLAD HOTEL Mapo,24.0,2.0,26504.2
23,(주)호텔롯데 L7홍대,hotel,마포구,마포구,홍대권,"서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 (동교동)",37.555728,126.918744,active,340.0,23,hongdae_area,2289-1000,2018-01-29,관광호텔업,영업/정상,영업중,193005.883365365,450387.023230304,seoul_open_data,HOTELLOTTE L7 HONGDAE,20.0,5.0,22928.75
24,라이즈호텔,hotel,마포구,마포구,홍대권,서울특별시 마포구 양화로 130 (서교동),37.554432,126.918361,active,274.0,24,hongdae_area,"330-7872, 3307570",2018-04-20,관광호텔업,영업/정상,영업중,192971.947727746,450243.232547428,seoul_open_data,RYSE HOTEL,20.0,5.0,29331.57
25,클레오,hostel,마포구,마포구,홍대권,서울특별시 마포구 연희로 27 (동교동),37.561389,126.923764,active,24.0,25,core_hongdae,023238811,2018-08-28,호스텔업,영업/정상,영업중,193449.985027039,451015.020894903,seoul_open_data,,7.0,1.0,600.69
26,홀리데이 인 익스프레스 서울 홍대,hotel,마포구,마포구,홍대권,서울특별시 마포구 양화로 188 (동교동),37.559528,126.921905,active,294.0,26,core_hongdae,027682661,2018-08-31,관광호텔업,영업/정상,영업중,193285.549735897,450808.571641119,seoul_open_data,Holiday Inn Express Seoul Hongdae,710.0,0.0,13610.51
27,샤이닝 글로리 하우스,hotel,마포구,마포구,,"서울특별시 마포구 희우정로 90, 샤이닝글로리하우스 (망원동)",37.553777,126.900034,closed,69.0,27,,02-336-9000,2019-12-30,관광호텔업,폐업,폐업,191352.474870905,450172.065593512,seoul_open_data,SHINING GLORY HOUSE,7.0,1.0,3828.39
28,보보호텔,hotel,마포구,마포구,홍대권,"서울특별시 마포구 양화로 94, 보보호텔 (서교동)",37.552319,126.915312,active,55.0,28,fringe_hongdae,02-324-0021,2020-12-11,관광호텔업,영업/정상,영업중,192702.357899428,450008.91757619,seoul_open_data,,5.0,1.0,2625.0
29,주니비노호텔,hotel,마포구,마포구,,"서울특별시 마포구 양화진2길 31, 주니비노 호텔 (합정동)",37.547948,126.907862,active,68.0,29,,02-332-7771,2021-11-23,관광호텔업,영업/정상,영업중,192043.507297118,449524.361048163,seoul_open_data,,12.0,2.0,6173.93
30,로이넷 호텔 서울 마포,hotel,마포구,마포구,,서울특별시 마포구 마포대로 67 (도화동),37.541814,126.945393,active,341.0,30,,02-3702-0300,2021-12-22,관광호텔업,영업/정상,영업중,195359.808050656,448841.031803244,seoul_open_data,,24.0,4.0,20616.76
31,머큐어 앰배서더 서울 홍대,hotel,마포구,마포구,홍대권,"서울특별시 마포구 양화로 144, MERCURE 앰배서더 HOTEL 홍대 (동교동)",37.555321,126.919511,active,270.0,31,hongdae_area,02-3774-1101,2021-12-22,관광호텔업,영업/정상,영업중,193073.64466155,450341.82321403,seoul_open_data,,18.0,6.0,13665.81
32,호텔 나루,hotel,마포구,마포구,,서울특별시 마포구 마포대로 8 (마포동),37.537217,126.941356,active,196.0,32,,02-6410-1000,2022-10-12,관광호텔업,영업/정상,영업중,195002.716187445,448331.067134872,seoul_open_data,Hotel Naru,24.0,5.0,27340.92
33,크리에이터타운 서교,hotel,마포구,마포구,홍대권,서울특별시 마포구 월드컵북로5길 41 (서교동),37.556264,126.91392,active,296.0,33,fringe_hongdae,,2023-06-30,관광호텔업,영업/정상,영업중,192579.727675563,450446.890829184,seoul_open_data,,7.0,3.0,13942.06
34,스테이 더 이룸,hostel,마포구,마포구,홍대권,"서울특별시 마포구 월드컵북로2길 19, 2~5층 (동교동)",37.556354,126.919036,active,7.0,34,core_hongdae,,2025-04-21,호스텔업,영업/정상,영업중,193031.771142009,450456.462818787,seoul_open_data,Stay the Eeroom,0.0,0.0,456.77
35,비아르떼,hostel,마포구,마포구,홍대권,"서울특별시 마포구 신촌로4길 10, 2층 (동교동)",37.557497,126.925462,active,2.0,35,core_hongdae,,2025-06-17,호스텔업,영업/정상,영업중,193599.722243995,450582.835698566,seoul_open_data,B-Arte,2.0,0.0,77.49
36,슬로우온 호스텔,hostel,마포구,마포구,홍대권,"서울특별시 마포구 양화로 118, 5층 (서교동)",37.553825,126.917327,active,15.0,36,hongdae_area,,2025-07-28,호스텔업,영업/정상,영업중,192880.563694394,450175.878676492,seoul_open_data,Slow-on Hostel,5.0,0.0,242.93
37,더 센트럴 홍대,hostel,마포구,마포구,홍대권,"서울특별시 마포구 양화로 124, 3층 (서교동)",37.554279,126.91797,active,9.0,37,hongdae_area,,2025-09-02,호스텔업,영업/정상,영업중,192937.426138742,450226.210530626,seoul_open_data,,3.0,0.0,196.0
38,코코스테이,hostel,마포구,마포구,홍대권,"서울특별시 마포구 신촌로12나길 32, 2층 (노고산동)",37.554854,126.931371,active,7.0,38,hongdae_area,,2025-09-02,호스텔업,영업/정상,영업중,194121.619460487,450289.132332369,seoul_open_data,,2.0,0.0,131.71
39,비아르떼 서울,hostel,마포구,마포구,홍대권,"서울특별시 마포구 신촌로4길 5-5, 1층 (동교동)",37.557624,126.925964,active,2.0,39,core_hongdae,,2025-10-21,호스텔업,영업/정상,영업중,193644.058184763,450596.886231733,seoul_open_data,,1.0,0.0,57.23
40,골든(Golden) 신촌홍대점,hostel,마포구,마포구,홍대권,"서울특별시 마포구 서강로20길 11, 2층 (노고산동)",37.553921,126.933627,active,10.0,40,hongdae_area,,2025-12-15,호스텔업,영업/정상,영업중,194320.816094842,450185.405671283,seoul_open_data,,2.0,0.0,145.96
41,로프트13,hostel,마포구,마포구,홍대권,"서울특별시 마포구 서강로 132, BS타워 13층 (노고산동)",37.553863,126.932548,active,7.0,41,hongdae_area,,2025-12-15,호스텔업,영업/정상,영업중,194225.490221946,450179.109724203,seoul_open_data,,13.0,0.0,170.7
42,스테이플랜비,hostel,마포구,마포구,홍대권,"서울특별시 마포구 서강로 133, 신촌병우빌딩 5,7층 (노고산동)",37.55441,126.932363,active,14.0,42,hongdae_area,,2026-02-02,호스텔업,영업/정상,영업중,194209.190531122,450239.854658343,seoul_open_data,STAY PLAN B,0.0,0.0,501.9
43,더집서울,hostel,마포구,마포구,홍대권,"서울특별시 마포구 서강로 132, BS타워 4,7층 (노고산동)",37.553863,126.932548,active,7.0,43,hongdae_area,,2026-02-02,호스텔업,영업/정상,영업중,194225.490221946,450179.109724203,seoul_open_data,THEZIP SEOUL,0.0,0.0,341.4
44,신촌스테이,hostel,마포구,마포구,홍대권,"서울특별시 마포구 서강로 135, JK빌딩 2층 (노고산동)",37.55451,126.932533,active,7.0,44,hongdae_area,,2026-03-11,호스텔업,영업/정상,영업중,194224.210759149,450250.907145243,seoul_open_data,Sinchon Stay,2.0,0.0,193.19
45,코스모하버 홍대,hostel,마포구,마포구,홍대권,서울특별시 마포구 잔다리로 49 (서교동),37.552268,126.915526,active,0.0,45,fringe_hongdae,,2026-03-19,호스텔업,영업/정상,영업중,192721.261485839,450003.219247786,seoul_open_data,COSMOHARBOR Hongdae,5.0,1.0,
46,스테이히어어게인,hostel,마포구,마포구,홍대권,서울특별시 마포구 월드컵북로2길 19 (동교동),37.556354,126.919036,active,0.0,46,core_hongdae,,2026-03-19,호스텔업,영업/정상,영업중,193031.771142009,450456.462818787,seoul_open_data,"STAY HERE, AGAIN",0.0,0.0,
47,K-그랜드 호스텔 신촌,unknown,마포구,마포구,홍대권,"서울특별시 마포구 신촌로16길 34, 백산빌딩 (노고산동)",37.554233,126.931324,active,,47,hongdae_area,,2026-04-03,관광숙박업,영업/정상,영업중,194117.365875122,450220.187710375,seoul_open_data,,,,
48,홍대 온기,unknown,마포구,마포구,홍대권,"서울특별시 마포구 양화로 118, 4층 (서교동)",37.553825,126.917327,active,,48,hongdae_area,,2026-04-03,관광숙박업,영업/정상,영업중,192880.563694394,450175.878676492,seoul_open_data,,,,
49,룩앤스테이,unknown,마포구,마포구,홍대권,"서울특별시 마포구 월드컵북로2길 19, 8층 (동교동)",37.556354,126.919036,active,,49,core_hongdae,,2026-04-07,관광숙박업,영업/정상,영업중,193031.771142009,450456.462818787,seoul_open_data,,,,
50,아스토리아호텔,hotel,중구,중구,,서울특별시 중구 퇴계로 176 (남학동),37.560824,126.98841,closed,0.0,50,,2268-7111,1960-06-10,관광호텔업,폐업,폐업,199161.680844774,450949.674631487,seoul_open_data,,0.0,0.0,4170.0
51,사보이호텔,hotel,중구,중구,명동권,서울특별시 중구 명동8나길 10 (충무로1가),37.561723,126.981415,active,105.0,51,,776-1811,1963-06-23,관광호텔업,영업/정상,영업중,198543.644700379,451049.580620366,seoul_open_data,Savoy Hotel,8.0,1.0,4830.0
52,메트로호텔,hotel,중구,중구,명동권,서울특별시 중구 명동9가길 14 (을지로2가),37.565127,126.980838,active,78.0,52,,776-8221,1963-06-26,관광호텔업,영업/정상,영업중,198492.801933133,451427.348965871,seoul_open_data,,9.0,1.0,4274.81
53,프레지던트호텔,hotel,중구,중구,명동권,서울특별시 중구 을지로 16 (을지로1가),37.56563,126.976544,active,303.0,53,,753-3131,1969-03-28,관광호텔업,영업/정상,영업중,198113.370663648,451483.299976911,seoul_open_data,PRESIDENT HOTEL,0.0,0.0,37527.0
54,서울프린스호텔,hotel,중구,중구,,서울특별시 중구 퇴계로 130 (남산동2가),37.560673,126.983386,active,100.0,54,,752-7111,1969-04-15,관광호텔업,영업/정상,영업중,198717.824491651,450932.964839778,seoul_open_data,Seoul Prince Hotel,0.0,0.0,4297.0
55,뉴서울호텔,hotel,중구,중구,,서울특별시 중구 세종대로22길 16 (태평로1가),37.567988,126.975271,active,186.0,55,,735-9071,1969-10-15,관광호텔업,영업/정상,영업중,198000.967176821,451745.025547093,seoul_open_data,,0.0,0.0,9429.0
56,(주)조선호텔앤리조트,hotel,중구,중구,,서울특별시 중구 소공로 106 (소공동),37.564438,126.977209,active,462.0,56,,771-0500,1970-06-05,관광호텔업,영업/정상,영업중,198172.151119488,451350.969223428,seoul_open_data,JOSUNHOTELS&RESORTS Inc.,0.0,0.0,46501.0
57,(주)서울렉스호텔,hotel,중구,중구,명동권,서울특별시 중구 퇴계로10길 23 (회현동1가),37.558677,126.978089,active,108.0,57,,752-3191,1970-01-12,관광호텔업,영업/정상,영업중,198249.758791197,450711.482993526,seoul_open_data,,0.0,0.0,5201.0
58,호텔 PJ,hotel,중구,중구,,서울특별시 중구 마른내로 71 (인현동2가),37.564812,126.99281,active,272.0,58,,2266-3186,1970-07-01,관광호텔업,영업/정상,영업중,199550.506270874,451392.219693582,seoul_open_data,Hotel PJ,0.0,0.0,27504.0
59,세종호텔,hotel,중구,중구,명동권,"서울특별시 중구 퇴계로 145 (충무로2가, 세종호텔)",37.561467,126.985067,active,333.0,59,,773-6000,1973-12-24,관광호텔업,영업/정상,영업중,198866.36491721,451021.050960516,seoul_open_data,SEJONG HOTEL,0.0,0.0,22928.0
60,앰배서더 서울 풀만 호텔,hotel,중구,중구,,서울특별시 중구 동호로 287 (장충동2가),37.56018,126.999505,closed,318.0,60,,2270-3187,1975-12-02,관광호텔업,휴업,휴업,200141.998469463,450878.102981055,seoul_open_data,THE AMBASSADOR SEOUL-A PULLMAN HOTEL,0.0,0.0,32899.26
61,퍼시픽호텔,hotel,중구,중구,,서울특별시 중구 퇴계로20길 2 (남산동2가),37.559726,126.982552,active,181.0,61,,777-7811,1975-02-14,관광호텔업,영업/정상,영업중,198644.069040474,450827.86176286,seoul_open_data,PACIFIC HOTEL,0.0,0.0,13520.0
62,플라자호텔,hotel,중구,중구,,서울특별시 중구 소공로 119 (태평로2가),37.56467,126.975023,active,313.0,62,,771-2200,1976-09-01,관광호텔업,영업/정상,영업중,197979.021229862,451376.783371586,seoul_open_data,THE PLAZA HOTEL,0.0,0.0,37765.0
63,뉴국제호텔,hotel,중구,중구,,서울특별시 중구 세종대로22길 12 (태평로1가),37.567942,126.975086,closed,142.0,63,,732-0161,1977-02-28,관광호텔업,폐업,폐업,197984.6447186,451739.947695781,seoul_open_data,,0.0,0.0,8814.0
64,호텔신라,hotel,중구,중구,,서울특별시 중구 동호로 249 (장충동2가),37.55675,127.003145,active,464.0,64,,2230-3114,1978-12-23,관광호텔업,영업/정상,영업중,200463.625303538,450497.460903907,seoul_open_data,,0.0,0.0,82657.0
65,뉴천지,unknown,중구,중구,명동권,서울특별시 중구 을지로38길 20  (을지로5가),37.565884,127.000456,closed,0.0,65,,2265-6131,1983-02-21,관광숙박업,폐업,폐업,200225.983119633,451511.262755282,seoul_open_data,,0.0,0.0,4665.0
66,호텔롯데,hotel,중구,중구,명동권,"서울특별시 중구 을지로 30 (소공동, 롯데호텔)",37.56481,126.9782,active,0.0,66,,02-771-1000,1987-08-11,관광호텔업,영업/정상,영업중,198259.65357739,451392.198218657,seoul_open_data,HOTEL LOTTE,0.0,0.0,192711.81
67,로얄호텔서울,hotel,중구,중구,명동권,서울특별시 중구 명동길 61 (명동1가),37.564315,126.982754,active,310.0,67,,771-4500,1987-09-07,관광호텔업,영업/정상,영업중,198662.073220851,451337.206272624,seoul_open_data,Royal Hotel Seoul,21.0,2.0,20164.0
68,코리아나호텔,hotel,중구,중구,,"서울특별시 중구 세종대로 135 (태평로1가, 코리아나호텔)",37.568302,126.973756,active,285.0,68,,730-9911,1987-07-08,관광호텔업,영업/정상,영업중,197867.156641113,451779.880897566,seoul_open_data,KOREANA HOTEL,0.0,0.0,31896.0
69,반얀트리 클럽 앤 스파 서울,hotel,중구,중구,,서울특별시 중구 장충단로 60 (장충동2가),37.550554,127.000085,active,50.0,69,,2250-8000,1987-07-08,가족호텔업,영업/정상,영업중,200193.232424569,449809.744684888,seoul_open_data,BANYAN TREE CLUB & SPA SEOUL,21.0,2.0,21393.0
70,뉴오리엔탈관광호텔,hotel,중구,중구,명동권,서울특별시 중구 퇴계로14길 1 (회현동3가),37.560338,126.980822,closed,65.0,70,,755-9345,1987-07-10,관광호텔업,폐업,폐업,198491.235028989,450895.855106921,seoul_open_data,NEW ORIENTAL HOTEL,0.0,0.0,3252.0
71,(주)씨디엘호텔코리아(밀레니엄 힐튼 서울),hotel,중구,중구,명동권,서울특별시 중구 소월로 50 (남대문로5가),37.555307,126.972576,closed,680.0,71,,753-7788,1989-05-04,관광호텔업,폐업,폐업,197762.501510022,450337.580626313,seoul_open_data,CDL HOTEL KOREA(MILLENNIUM HILTON SEOUL),0.0,0.0,82856.0
72,호텔 파레스,hotel,중구,중구,명동권,서울특별시 중구 퇴계로8길 13 (회현동1가),37.558605,126.977122,closed,52.0,72,,777-7731,2006-09-15,관광호텔업,폐업,폐업,198164.258357664,450703.59926523,seoul_open_data,HOTEL PALACE,8.0,1.0,2772.84
73,호텔 국도,hotel,중구,중구,명동권,서울특별시 중구 을지로 164 (을지로4가),37.566176,126.993405,active,295.0,73,,2266-1446,2007-04-03,관광호텔업,영업/정상,영업중,199603.040706779,451543.643423302,seoul_open_data,HOTEL KUKDO,21.0,4.0,18305.0
74,이비스 앰배서더 명동,hotel,중구,중구,명동권,서울특별시 중구 남대문로 78 (명동1가),37.564189,126.980172,active,280.0,74,,6361-8011,2007-07-03,관광호텔업,영업/정상,영업중,198433.903211956,451323.216289926,seoul_open_data,IBIS AMBASSADOR MYEONGDONG,0.0,0.0,14697.67
75,라마다호텔앤스위트 서울센트럴,unknown,중구,중구,,"서울특별시 중구 칠패로 27  (순화동,외 1필지 C동)",37.560177,126.969175,closed,0.0,75,,,2008-01-11,관광숙박업,취소/말소/만료/정지/중지,등록취소,197462.198757043,450878.211786274,seoul_open_data,,25.0,3.0,25524.92
76,디에스디엘(주) 프레이저 플레이스 센트럴 서울,hotel,중구,중구,,"서울특별시 중구 통일로 78 (순화동,외 1필지)",37.562613,126.966986,active,258.0,76,,2220-8210,2008-10-22,가족호텔업,영업/정상,영업중,197268.885433824,451148.620978965,seoul_open_data,"DSDL Co., Ltd. FRASER PLACE CENTRAL SEOUL",23.0,5.0,34332.13
77,이스트게이트 타워호텔,unknown,중구,중구,명동권,"서울특별시 중구 장충단로13길 20  (을지로6가,케레스타 빌딩 18층~20층)",37.568643,127.004842,closed,0.0,77,,3407-0700,2009-05-22,관광숙박업,폐업,폐업,200613.510297669,451817.515366883,seoul_open_data,,0.0,0.0,5996.79
78,호텔아카시아,hotel,중구,중구,명동권,서울특별시 중구 동호로 360 (을지로5가),37.566482,126.999832,closed,134.0,78,,2277-4917,2009-09-22,관광호텔업,폐업,폐업,200170.834204583,451577.602493325,seoul_open_data,HOTEL ACACIA,12.0,3.0,8839.81
79,호텔 스카이파크3,hotel,중구,중구,명동권,서울특별시 중구 퇴계로 139 (충무로2가),37.56131,126.984485,active,136.0,79,,756-9700,2011-09-28,관광호텔업,영업/정상,영업중,198814.884440598,451003.686958642,seoul_open_data,HOTEL SKYPARK Ⅲ,9.0,2.0,5866.0
80,라마다호텔 동대문,hotel,중구,중구,명동권,서울특별시 중구 동호로 354 (을지로5가),37.565976,126.999722,closed,0.0,80,,2119-8974,2012-01-19,관광호텔업,폐업,폐업,200161.192418006,451521.415517111,seoul_open_data,,12.0,4.0,11378.0
81,호텔마누,hotel,중구,중구,명동권,서울특별시 중구 퇴계로 19 (남대문로5가),37.557141,126.971999,active,80.0,81,,757-2263,2012-11-30,관광호텔업,영업/정상,영업중,197711.630119852,450541.171402454,seoul_open_data,HOTEL MANU,10.0,3.0,4320.93
82,나인트리 바이 파르나스 서울 명동Ⅰ,hotel,중구,중구,명동권,서울특별시 중구 명동10길 51 (충무로2가),37.561588,126.983135,active,144.0,82,,750-0999,2012-12-06,관광호텔업,영업/정상,영업중,198695.658587016,451034.509517585,seoul_open_data,NINE TREE BY PARNAS SEOUL MYEONGDONG 1,0.0,0.0,6814.0
83,더 그랜드호텔 명동,hotel,중구,중구,명동권,서울특별시 중구 명동8가길 38 (충무로2가),37.561654,126.984286,active,50.0,83,,777-7905,2013-02-19,관광호텔업,영업/정상,영업중,198797.29864019,451041.893325607,seoul_open_data,,7.0,2.0,2215.0
84,프레이저플레이스남대문,hotel,중구,중구,명동권,서울특별시 중구 세종대로 58 (남대문로4가),37.561376,126.973539,active,252.0,84,,2098-0530,2013-06-10,관광호텔업,영업/정상,영업중,197847.754499522,451011.231861517,seoul_open_data,,3.0,16.0,17556.0
85,클라벤 호텔 명동 시티홀,hotel,중구,중구,,서울특별시 중구 세종대로16길 22 (북창동),37.563212,126.975219,active,129.0,85,,6362-6000,2013-06-10,관광호텔업,영업/정상,영업중,197996.303190059,451214.940443595,seoul_open_data,Klaven Hotel Myeongdong City Hall,11.0,3.0,5758.45
86,신신호텔1,unknown,중구,중구,명동권,서울특별시 중구 남대문로5길 21 (북창동),37.562312,126.976023,closed,0.0,86,,2139-1000,2013-06-17,관광숙박업,폐업,폐업,198067.276635677,451115.055200121,seoul_open_data,,11.0,2.0,1233.29
87,서울호텔신신,hotel,중구,중구,명동권,서울특별시 중구 남대문로5길 17-5 (북창동),37.562336,126.975801,active,75.0,87,,1877-2538,2013-06-17,관광호텔업,영업/정상,영업중,198047.674063427,451117.674050616,seoul_open_data,Seoul hotel shin shin,7.0,3.0,3020.92
88,써미트호텔,hotel,중구,중구,,서울특별시 중구 장충단로 198 (장충동1가),37.562247,127.003997,active,190.0,88,,2285-0540,2013-10-08,관광호텔업,영업/정상,영업중,200538.850127418,451107.614340285,seoul_open_data,Summit Hotel,9.0,3.0,9026.49
89,티마크호텔명동,hotel,중구,중구,명동권,서울특별시 중구 충무로 15 (충무로3가),37.562583,126.989679,closed,288.0,89,,2098-2050,2013-10-16,관광호텔업,폐업,폐업,199273.815368546,451144.90452668,seoul_open_data,Tmark Hotel Myeongdong,13.0,4.0,14965.47
90,24게스트하우스동대문,hostel,중구,중구,명동권,서울특별시 중구 을지로 280-2 (을지로7가),37.565371,127.006164,closed,26.0,90,,2176-3659,2014-06-20,호스텔업,폐업,폐업,200730.296204033,451454.338715818,seoul_open_data,24Guesthouse Dongdaemoon,6.0,0.0,605.09
91,스카이파크호텔 동대문1호점,hotel,중구,중구,,서울특별시 중구 동호로 335 (오장동),37.564197,126.999188,active,254.0,91,,2264-2200,2014-07-08,관광호텔업,영업/정상,영업중,200113.999615549,451324.026100645,seoul_open_data,HOTEL SKYPARK DONGDAEMUN 1,19.0,2.0,8243.76
92,데이즈 호텔 명동,hotel,중구,중구,명동권,서울특별시 중구 퇴계로 107 (충무로1가),37.560952,126.980741,active,64.0,92,,02-727-8700,2014-07-22,관광호텔업,영업/정상,영업중,198484.096465671,450963.971753178,seoul_open_data,Days Hotel Myeongdong,11.0,2.0,2932.36
