canonical_name,address_road,cnt,phone,lat_fixed,lng_fixed
뉴국제호텔,서울특별시 중구 세종대로22길 12 (태평로1가),2,,,
더 센트럴 홍대,"서울특별시 마포구 양화로 124, 3층 (서교동)",2,,,
더도아스테이,"서울특별시 종로구 대학로 42-13, 2층 201호 (효제동)",2,,,
더집서울,"서울특별시 마포구 서강로 132, BS타워 4,7층 (노고산동)",2,,,
더프리마호텔 종로,"서울특별시 종로구 우정국로 46, 천마빌딩 (견지동)",2,,,
데이즈 호텔 명동,서울특별시 중구 퇴계로 107 (충무로1가),2,,,
도미인 익스프레스 서울 인사동,서울특별시 종로구 인사동길 20-9 (인사동),2,,,
동대문 스테이가든,"서울특별시 종로구 종로54길 9-9, 2층 (창신동)",2,,,
동대문인순,"서울특별시 종로구 종로 298, 5층 (창신동)",2,,,
동우 아트빌,"서울특별시 서대문구 신촌로1길 48, 201호 (창천동, 동우아트빌)",2,,,
라이즈호텔,서울특별시 마포구 양화로 130 (서교동),2,,,
라임하우스,"서울특별시 마포구 동교로17길 83, 1,2층 (성산동)",2,,,
레드스톤,서울특별시 마포구 동교로25길 68 (연남동),2,,,
로프트13,"서울특별시 마포구 서강로 132, BS타워 13층 (노고산동)",2,,,
루나하우스,"서울특별시 종로구 보문로1길 8, 루밍하우스코리아 1층 (숭인동)",2,,,
루미아호텔,서울특별시 종로구 난계로29길 19-11 (숭인동),2,,,
루프서울 연희점,"서울특별시 서대문구 동교로 294 (연희동, 루프서울 연희점)",2,,,
룩앤스테이,"서울특별시 마포구 월드컵북로2길 19, 8층 (동교동)",2,,,
르메르디앙 서울 명동,서울특별시 중구 명동8나길 38 (충무로1가),2,,,
먼슬리브 종로 종각역 호텔 스테이,"서울특별시 종로구 삼일대로15길 17, 금옥빌딩 3,8층 (관철동)",2,,,
메트로호텔,서울특별시 중구 명동9가길 14 (을지로2가),2,,,
목시 서울 명동,서울특별시 중구 명동8나길 38 (충무로1가),2,,,
목시 서울 인사동 호텔,서울특별시 종로구 돈화문로11길 37 (낙원동),2,,,
무드온 명동,"서울특별시 중구 명동8길 8-11, 3층 (명동2가)",2,,,
미로 게스트하우스,"서울특별시 마포구 동교로38길 27, 2층 (연남동)",2,,,
바운드 호스텔,서울특별시 종로구 돈화문로 85 (와룡동),2,,,
베스트웨스턴 종로(인사동),서울특별시 종로구 돈화문로11길 33 (낙원동),2,,,
베이튼호텔,서울특별시 중구 동호로 346 (오장동),2,,,
벨린스테이,"서울특별시 종로구 우정국로2길 31, 4층 (관철동)",2,,,
브라우니 게스트하우스,"서울특별시 마포구 양화로23길 24, 3층 (동교동)",2,,,
비아르떼,"서울특별시 마포구 신촌로4길 10, 2층 (동교동)",2,,,
비아르떼 서울,"서울특별시 마포구 신촌로4길 5-5, 1층 (동교동)",2,,,
빽팩커 미스터 씨 카오산 서울,"서울특별시 종로구 창경궁로 243-3, 1층 (명륜2가)",2,,,
상원여관,서울특별시 중구 산림동 76-2번지,2,,,
서서울관광호텔,서울특별시 마포구 합정동 381-17번지,2,,,
서울 라이트 인 명동,"서울특별시 중구 명동길 55, 11층 (명동1가)",2,,,
서울앤호텔 동대문,서울특별시 종로구 종로66가길 21 (숭인동),2,,,
서울프린스호텔,서울특별시 중구 퇴계로 130 (남산동2가),2,,,
성지여관,서울특별시 중구 회현동1가 86-1번지,2,,,
소담온 종로,"서울특별시 종로구 돈화문로9길 6, 4층 (돈의동)",2,,,
소테츠호텔즈 더 스프라지르 서울 동대문,서울특별시 중구 장충단로 226 (광희동2가),2,,,
소테츠호텔즈 더 스프라지르 서울 명동,서울특별시 중구 남대문로5길 15 (북창동),2,,,
수레지던스,"서울특별시 종로구 삼일대로17길 46, 신양빌딩 4,5층 (관철동)",2,,,
스테이 도손 동대문점,"서울특별시 종로구 종로 248-1, 2층 (종로5가)",2,,,
스테이 마루 종로,"서울특별시 종로구 종로12길 14, BK종로 6층 (관철동)",2,,,
스테이 봄,"서울특별시 종로구 율곡로22길 12-14, 7층 (충신동)",2,,,
스테이 뷔,"서울특별시 종로구 종로12길 14, BK종로 5층 (관철동)",2,,,
스테이 종로 온당,서울특별시 종로구 율곡로 110-16 (권농동),2,,,
스테이 한가온 명동,서울특별시 중구 세종대로2가길 40 (남대문로5가),2,,,
스테이누아 종로,"서울특별시 종로구 대학로1길 34-11, 영지빌딩 4층 (연지동)",2,,,
스테이모드,서울특별시 중구 수표로 10 (충무로3가),2,,,
스테이울림,"서울특별시 종로구 종로 62-1, 4층 (종로2가)",2,,,
스테이플랜비,"서울특별시 마포구 서강로 133, 신촌병우빌딩 5,7층 (노고산동)",2,,,
스튜디오 밀루 종로광화문점,"서울특별시 종로구 종로5길 32-5, 삼선빌딩 4층 (청진동)",2,,,
슬로우온 호스텔,"서울특별시 마포구 양화로 118, 5층 (서교동)",2,,,
신촌라싸 관광호텔,서울특별시 서대문구 연세로2가길 3 (창천동),2,,,
아름호스텔,"서울특별시 종로구 율곡로4길 11-3, 1층 (견지동)",2,,,
아스토리아호텔,서울특별시 중구 퇴계로 176 (남학동),2,,,
아이비씨호텔,서울특별시 종로구 난계로 241 (숭인동),2,,,
안한스테이 동묘,"서울특별시 종로구 종로57길 7, 안한스테이 동묘 (숭인동)",2,,,
앰배서더 서울 풀만 호텔,서울특별시 중구 동호로 287 (장충동2가),2,,,
언플러그 안국,서울특별시 종로구 율곡로10길 11 (권농동),2,,,
에스엘호텔,서울특별시 중구 삼일대로4길 9 (충무로2가),2,,,
에이치에비뉴 호텔 이대점,서울특별시 마포구 신촌로 152 (노고산동),2,,,
엠제이호텔,"서울특별시 종로구 삼일대로32가길 15, 이레빌딩 1~7층 (익선동)",2,,,
연경당,"서울특별시 종로구 율곡로22길 12-14, 4층 (충신동)",2,,,
예성 게스트하우스,"서울특별시 마포구 월드컵로7길 60, 지층 101호 (합정동)",2,,,
온코리아 스테이,"서울특별시 종로구 율곡로 230-13, 온코리아 스테이 (충신동)",2,,,
올스테이인,서울특별시 중구 퇴계로 159-8 (충무로2가),2,,,
이비스 스타일 앰배서더 서울 명동,서울특별시 중구 삼일대로 302 (충무로2가),2,,,
이스트 아뜰리에,서울특별시 종로구 창경궁로 123-20 (인의동),2,,,
이온호텔,"서울특별시 종로구 종로 313-6, 금강빌딩 (창신동)",2,,,
이화블로섬하우스,"서울특별시 서대문구 이화여대1안길 13, 2~8층 (대현동)",2,,,
일신,서울특별시 마포구 신수동 85-69번지,2,,,
장춘여관,서울특별시 중구 회현동1가 29-2번지,2,,,
정화여인숙,서울특별시 마포구 노고산동 54-36번지,2,,,
제일,서울특별시 중구 주교동 89-0번지,2,,,
종로하루,"서울특별시 종로구 창경궁로21가길 5-3, 종로하루 (원남동)",2,,,
주니비노호텔,"서울특별시 마포구 양화진2길 31, 주니비노 호텔 (합정동)",2,,,
케이그랜드호텔 DDP,"서울특별시 중구 마장로 11, 신한빌딩 3층 (신당동)",2,,,
케이호스텔,서울특별시 마포구 서강로 19 (신정동),2,,,
코코스테이,"서울특별시 마포구 신촌로12나길 32, 2층 (노고산동)",2,,,
클래식 아파트먼트 익선,"서울특별시 종로구 돈화문로 92, 고려빌딩 2~5층 (와룡동)",2,,,
클레오,서울특별시 마포구 연희로 27 (동교동),2,,,
킹콩게스트하우스,"서울특별시 마포구 독막로9길 37-4, 1,2층 (서교동)",2,,,
트레블로지 명동 남산,서울특별시 중구 수표로 16 (충무로3가),2,,,
퍼시픽호텔,서울특별시 중구 퇴계로20길 2 (남산동2가),2,,,
편안정 종로5가점,"서울특별시 종로구 종로 248-1, 5층 (종로5가)",2,,,
프레지던트호텔,서울특별시 중구 을지로 16 (을지로1가),2,,,
플라자호텔,서울특별시 중구 소공로 119 (태평로2가),2,,,
하우스 사라,"서울특별시 중구 퇴계로68길 10, 2~3층 (광희동2가)",2,,,
하우스다 종각,"서울특별시 종로구 삼일대로 391, 5층 (관철동)",2,,,
하이메이트 동대문,"서울특별시 중구 을지로 280-2, FIN TOWER 9~10층 (을지로7가)",2,,,
해치 스테이,"서울특별시 중구 남대문로7길 33, 7층 (소공동)",2,,,
헤이븐 스테이 종로,"서울특별시 종로구 종로5길 32-5, 삼선빌딩 6층 (청진동)",2,,,
호스텔 메가 동대문역,"서울특별시 종로구 종로46길 22, 임진빌딩 2층 (창신동)",2,,,
호스텔 소우재,"서울특별시 중구 퇴계로87길 32, 2층 (황학동)",2,,,
호텔 그레이스리 서울,서울특별시 중구 세종대로12길 12 (남대문로4가),2,,,
호텔 다다-인사,서울특별시 종로구 삼일대로32가길 33 (익선동),2,,,
호텔 더 디자이너스 동대문,서울특별시 중구 퇴계로 306 (쌍림동),2,,,
호텔 아트리움,"서울특별시 종로구 창경궁로 106, 호텔아트리움 (인의동)",2,,,
호텔 토마스 명동,"서울특별시 중구 세종대로16길 26, 호텔 토마스 명동 (북창동)",2,,,
호텔베뉴지,서울특별시 종로구 청계천로 117 (관수동),2,,,
호텔신라,서울특별시 중구 동호로 249 (장충동2가),2,,,
홍대 온기,"서울특별시 마포구 양화로 118, 4층 (서교동)",2,,,
화영호스텔,서울특별시 서대문구 신촌로 157 (대현동),2,,,
,,80,02   00000,,
,,2,02  21241122,,
,,2,02  22647888,,
,,2,02  323 9220,,
,,2,02  37897115,,
,,2,02  69009387,,
,,2,02  69261500,,
,,2,02  745 1986,,
,,2,02  756 1500,,
,,2,02  777 5621,,
,,2,02 3125141,,
,,2,02 3128523,,
,,2,02 3721972,,
,,2,02 3732251,,
,,2,02 7150042,,
,,2,02 7165858,,
,,2,02 7199060,,
,,2,02 7413831,,
,,2,02 7421278,,
,,2,02 7426066,,
,,2,02 7442299,,
,,2,02 7539433,,
,,2,02 7556101,,
,,2,02 7635235,,
,,2,02 7650441,,
,,2,02 7654481,,
,,3,02 7662121,,
,,2,02 7797941,,
,,2,02-318-2323,,
,,2,02-745-3930,,
,,2,02-752-2300,,
,,64,0200000000,,
,,2,0203240835,,
,,2,0207194318,,
,,2,0215336240,,
,,2,0222661151,,
,,2,0222677712,,
,,2,0222726186,,
,,2,0222742651,,
,,5,0222757790,,
,,2,0222760611,,
,,2,0222856784,,
,,2,0234258000,,
,,2,0263101050,,
,,2,0263490781,,
,,2,070-7516-5565,,
,,2,070-8879-0317,,
,,2,2020-4040,,
,,2,22346148,,
,,2,22526944,,
,,2,3425-8050,,
,,2,7530407,,
,,3,,37.5361,126.9425
,,2,,37.5367,126.9460
,,2,,37.5372,126.9414
,,2,,37.5407,126.9455
,,3,,37.5411,126.9513
,,2,,37.5417,126.9500
,,2,,37.5418,126.9454
,,2,,37.5429,126.9468
,,2,,37.5430,126.9483
,,2,,37.5449,126.9477
,,3,,37.5452,126.9271
,,2,,37.5460,126.9196
,,2,,37.5464,126.9158
,,4,,37.5466,126.9139
,,2,,37.5470,126.9117
,,2,,37.5475,126.9112
,,3,,37.5479,126.9079
,,3,,37.5483,126.9196
,,2,,37.5488,126.9213
,,2,,37.5489,126.9079
,,2,,37.5489,126.9361
,,2,,37.5491,126.9062
,,3,,37.5491,126.9143
,,2,,37.5491,127.0043
,,2,,37.5493,126.9147
,,2,,37.5494,126.9042
,,3,,37.5498,126.9130
,,3,,37.5498,126.9189
,,5,,37.5501,126.9175
,,3,,37.5501,126.9176
,,2,,37.5503,126.9070
,,2,,37.5503,126.9150
,,2,,37.5506,127.0001
,,2,,37.5508,126.9062
,,2,,37.5519,126.9147
,,3,,37.5519,127.0032
,,2,,37.5523,126.9153
,,2,,37.5523,126.9155
,,2,,37.5525,126.9257
,,2,,37.5527,126.9236
,,2,,37.5527,126.9334
,,2,,37.5528,126.9204
,,2,,37.5528,126.9334
,,3,,37.5529,126.9203
,,3,,37.5530,126.9058
,,2,,37.5530,126.9112
,,3,,37.5530,126.9332
,,2,,37.5531,126.9331
,,2,,37.5532,126.9333
,,2,,37.5533,126.9169
,,2,,37.5533,126.9331
,,2,,37.5533,126.9335
,,3,,37.5534,126.9323
,,2,,37.5535,126.9321
,,2,,37.5535,126.9325
,,4,,37.5536,126.9111
,,2,,37.5536,126.9140
,,2,,37.5536,126.9322
,,2,,37.5536,126.9357
,,3,,37.5537,126.9225
,,2,,37.5537,127.0078
,,2,,37.5538,126.9000
,,4,,37.5538,126.9173
,,2,,37.5538,126.9177
,,2,,37.5539,126.9152
,,4,,37.5539,126.9325
,,2,,37.5539,126.9327
,,3,,37.5539,126.9329
,,2,,37.5539,126.9332
,,3,,37.5539,126.9336
,,3,,37.5540,126.9219
,,2,,37.5540,126.9330
,,2,,37.5542,126.9284
,,2,,37.5542,126.9313
,,3,,37.5543,126.9161
,,2,,37.5543,126.9180
,,5,,37.5543,126.9232
,,2,,37.5543,126.9721
,,4,,37.5544,126.9184
,,2,,37.5544,126.9324
,,2,,37.5545,126.9113
,,2,,37.5545,126.9284
,,2,,37.5545,126.9325
,,2,,37.5546,126.9152
,,2,,37.5546,126.9234
,,3,,37.5546,126.9327
,,2,,37.5546,126.9358
,,2,,37.5547,126.9007
,,3,,37.5548,126.9248
,,2,,37.5548,126.9322
,,2,,37.5548,126.9323
,,2,,37.5549,126.9145
,,2,,37.5549,126.9242
,,2,,37.5549,126.9252
,,2,,37.5549,126.9308
,,2,,37.5549,126.9314
,,2,,37.5550,126.9210
,,2,,37.5550,126.9243
,,4,,37.5550,126.9280
,,4,,37.5551,126.9260
,,2,,37.5552,126.9239
,,2,,37.5553,126.9195
,,2,,37.5553,126.9252
,,2,,37.5553,126.9293
,,2,,37.5553,126.9726
,,4,,37.5554,126.9239
,,2,,37.5554,126.9245
,,4,,37.5554,126.9260
,,2,,37.5554,126.9271
,,2,,37.5555,126.9175
,,2,,37.5555,126.9215
,,2,,37.5555,127.0036
,,5,,37.5556,126.9227
,,2,,37.5556,126.9228
,,2,,37.5556,126.9268
,,2,,37.5557,126.9187
,,4,,37.5557,126.9222
,,3,,37.5557,126.9267
,,2,,37.5558,126.9221
,,3,,37.5558,126.9250
,,2,,37.5558,126.9779
,,4,,37.5559,126.9161
,,2,,37.5559,126.9250
,,5,,37.5559,126.9258
,,2,,37.5559,126.9277
,,3,,37.5559,126.9641
,,2,,37.5560,126.9256
,,2,,37.5561,126.9135
,,3,,37.5561,126.9164
,,3,,37.5561,126.9272
,,2,,37.5561,126.9344
,,3,,37.5561,126.9347
,,2,,37.5562,126.9159
,,2,,37.5562,126.9229
,,2,,37.5562,126.9257
,,2,,37.5562,126.9274
,,2,,37.5562,126.9278
,,2,,37.5562,126.9397
,,2,,37.5562,127.0112
,,2,,37.5563,126.9139
,,4,,37.5563,126.9242
,,4,,37.5563,126.9252
,,2,,37.5563,126.9351
,,2,,37.5563,126.9765
,,2,,37.5563,127.0059
,,2,,37.5564,126.9150
,,5,,37.5564,126.9190
,,2,,37.5564,126.9250
,,2,,37.5564,126.9274
,,3,,37.5564,126.9351
,,2,,37.5564,126.9365
,,2,,37.5564,126.9366
,,3,,37.5564,126.9920
,,4,,37.5565,126.9244
,,4,,37.5565,126.9274
,,2,,37.5565,126.9354
,,2,,37.5565,126.9368
,,3,,37.5565,126.9903
,,3,,37.5566,126.9348
,,5,,37.5567,126.9261
,,5,,37.5567,126.9267
,,2,,37.5567,126.9352
,,3,,37.5568,126.9184
,,3,,37.5568,126.9235
,,3,,37.5568,126.9262
,,2,,37.5568,126.9369
,,2,,37.5568,126.9743
,,3,,37.5568,126.9796
,,2,,37.5568,127.0031
,,2,,37.5569,126.9396
,,4,,37.5569,126.9405
,,2,,37.5569,126.9407
,,4,,37.5569,126.9796
,,2,,37.5570,126.9238
,,2,,37.5570,126.9257
,,2,,37.5570,126.9356
,,2,,37.5570,126.9387
,,2,,37.5571,126.9329
,,2,,37.5571,126.9720
,,3,,37.5571,126.9800
,,2,,37.5572,126.9157
,,8,,37.5572,126.9296
,,3,,37.5572,126.9647
,,3,,37.5572,126.9756
,,2,,37.5573,126.9261
,,2,,37.5573,126.9294
,,4,,37.5573,126.9345
,,2,,37.5573,126.9405
,,2,,37.5573,126.9814
,,2,,37.5573,126.9825
,,2,,37.5574,126.9172
,,4,,37.5574,126.9249
,,3,,37.5574,126.9266
,,2,,37.5574,126.9397
,,2,,37.5574,126.9819
,,3,,37.5574,126.9823
,,2,,37.5575,126.9179
,,3,,37.5575,126.9189
,,2,,37.5575,126.9247
,,2,,37.5575,126.9255
,,3,,37.5575,126.9293
,,2,,37.5575,126.9297
,,2,,37.5575,126.9299
,,2,,37.5575,126.9386
,,2,,37.5575,126.9390
,,2,,37.5575,126.9414
,,2,,37.5575,126.9646
,,5,,37.5575,126.9812
,,4,,37.5576,126.9255
,,2,,37.5576,126.9260
,,2,,37.5576,126.9261
,,2,,37.5576,126.9396
,,2,,37.5576,126.9779
,,3,,37.5576,126.9823
,,5,,37.5576,126.9828
,,2,,37.5577,126.9259
,,4,,37.5577,126.9286
,,2,,37.5578,126.9249
,,2,,37.5578,126.9758
,,2,,37.5578,126.9772
,,2,,37.5578,126.9808
,,2,,37.5578,126.9811
,,3,,37.5578,126.9815
,,2,,37.5579,126.9348
,,2,,37.5579,126.9413
,,2,,37.5579,126.9650
,,2,,37.5579,126.9822
,,2,,37.5580,126.9218
,,2,,37.5580,126.9769
,,2,,37.5580,126.9772
,,3,,37.5580,126.9819
,,2,,37.5580,126.9820
,,2,,37.5581,126.9624
,,8,,37.5581,126.9807
,,3,,37.5581,126.9817
,,3,,37.5581,126.9819
,,8,,37.5582,126.9269
,,2,,37.5582,126.9301
,,2,,37.5582,126.9728
,,2,,37.5582,126.9773
,,2,,37.5582,126.9780
,,3,,37.5582,126.9810
,,2,,37.5582,126.9839
,,3,,37.5583,126.9194
,,11,,37.5583,126.9276
,,9,,37.5583,126.9384
,,2,,37.5583,126.9388
,,2,,37.5583,126.9808
,,11,,37.5583,126.9813
,,2,,37.5583,126.9821
,,2,,37.5583,126.9829
,,2,,37.5583,126.9837
,,3,,37.5584,126.9111
,,2,,37.5584,126.9177
,,3,,37.5584,126.9819
,,3,,37.5584,126.9821
,,4,,37.5584,126.9822
,,3,,37.5585,126.9168
,,2,,37.5585,126.9217
,,2,,37.5585,126.9717
,,4,,37.5585,126.9758
,,3,,37.5585,126.9832
,,4,,37.5585,126.9838
,,2,,37.5585,126.9855
,,3,,37.5586,126.9214
,,4,,37.5586,126.9268
,,5,,37.5586,126.9270
,,2,,37.5586,126.9272
,,2,,37.5586,126.9608
,,2,,37.5586,126.9771
,,2,,37.5586,126.9819
,,2,,37.5586,126.9822
,,4,,37.5586,126.9839
,,2,,37.5586,126.9995
,,2,,37.5587,126.9306
,,2,,37.5587,126.9781
,,2,,37.5587,126.9826
,,4,,37.5587,126.9838
,,2,,37.5588,126.9164
,,5,,37.5588,126.9250
,,2,,37.5588,126.9271
,,2,,37.5588,126.9660
,,12,,37.5588,126.9824
,,3,,37.5588,126.9833
,,3,,37.5588,126.9835
,,2,,37.5588,126.9986
,,2,,37.5589,126.9188
,,2,,37.5589,126.9214
,,5,,37.5589,126.9228
,,2,,37.5589,126.9811
,,3,,37.5589,126.9820
,,3,,37.5589,126.9837
,,4,,37.5590,126.9189
,,2,,37.5590,126.9220
,,2,,37.5590,126.9229
,,3,,37.5590,126.9277
,,4,,37.5590,126.9826
,,3,,37.5590,126.9836
,,3,,37.5590,126.9896
,,2,,37.5591,126.9188
,,4,,37.5591,126.9191
,,3,,37.5591,126.9264
,,2,,37.5591,126.9821
,,2,,37.5591,126.9837
,,3,,37.5591,126.9838
,,3,,37.5592,126.9196
,,2,,37.5592,126.9225
,,5,,37.5592,126.9811
,,2,,37.5592,126.9821
,,2,,37.5593,126.9154
,,2,,37.5593,126.9177
,,4,,37.5593,126.9216
,,4,,37.5593,126.9823
,,3,,37.5593,126.9833
,,2,,37.5594,126.9760
,,2,,37.5594,126.9811
,,2,,37.5594,126.9931
,,2,,37.5595,126.9152
,,2,,37.5595,126.9206
,,2,,37.5595,126.9219
,,2,,37.5595,126.9222
,,2,,37.5595,126.9225
,,2,,37.5595,126.9231
,,2,,37.5595,126.9833
,,12,,37.5596,126.9156
,,5,,37.5596,126.9205
,,3,,37.5596,126.9258
,,4,,37.5596,126.9264
,,2,,37.5596,126.9271
,,2,,37.5596,126.9276
,,2,,37.5596,126.9810
,,2,,37.5596,126.9816
,,2,,37.5596,126.9818
,,2,,37.5597,126.9213
,,2,,37.5597,126.9826
,,2,,37.5598,126.9170
,,4,,37.5598,126.9222
,,3,,37.5598,126.9260
,,3,,37.5599,126.9268
,,2,,37.5599,126.9766
,,3,,37.5600,126.9193
,,2,,37.5600,126.9220
,,2,,37.5600,126.9230
,,5,,37.5600,126.9256
,,4,,37.5600,126.9265
,,2,,37.5600,126.9271
,,2,,37.5600,127.0020
,,2,,37.5601,126.9186
,,2,,37.5601,126.9188
,,2,,37.5601,126.9224
,,7,,37.5601,126.9251
,,2,,37.5601,126.9884
,,3,,37.5602,126.9173
,,4,,37.5602,126.9176
,,2,,37.5602,126.9191
,,3,,37.5602,126.9264
,,7,,37.5602,126.9692
,,2,,37.5602,126.9828
,,2,,37.5602,126.9995
,,2,,37.5603,126.9259
,,2,,37.5603,126.9271
,,2,,37.5603,126.9808
,,2,,37.5603,126.9947
,,2,,37.5604,126.9196
,,5,,37.5604,126.9229
,,6,,37.5604,126.9249
,,4,,37.5605,126.9186
,,3,,37.5605,126.9196
,,2,,37.5605,126.9219
,,2,,37.5605,126.9222
,,2,,37.5605,126.9269
,,3,,37.5605,126.9876
,,2,,37.5606,126.9153
,,2,,37.5606,126.9182
,,3,,37.5606,126.9183
,,3,,37.5606,126.9197
,,3,,37.5606,126.9229
,,2,,37.5606,126.9839
,,3,,37.5606,127.0053
,,2,,37.5607,126.9144
,,4,,37.5607,126.9184
,,10,,37.5607,126.9187
,,2,,37.5607,126.9834
,,2,,37.5608,126.9223
,,3,,37.5608,126.9228
,,9,,37.5608,126.9621
,,3,,37.5608,126.9766
,,4,,37.5608,126.9884
,,2,,37.5609,126.9275
,,2,,37.5610,126.9182
,,2,,37.5610,126.9186
,,2,,37.5610,126.9624
,,2,,37.5610,126.9807
,,2,,37.5611,126.9195
,,2,,37.5611,126.9218
,,2,,37.5611,126.9795
,,5,,37.5611,126.9816
,,2,,37.5612,126.9192
,,4,,37.5612,126.9212
,,2,,37.5612,126.9740
,,2,,37.5612,126.9922
,,4,,37.5613,126.9160
,,9,,37.5613,126.9165
,,2,,37.5613,126.9186
,,3,,37.5613,126.9227
,,2,,37.5613,126.9584
,,2,,37.5613,126.9845
,,2,,37.5613,126.9929
,,2,,37.5614,126.9165
,,2,,37.5614,126.9182
,,2,,37.5614,126.9184
,,2,,37.5614,126.9224
,,3,,37.5614,126.9238
,,2,,37.5614,126.9735
,,2,,37.5614,126.9748
,,2,,37.5614,126.9841
,,3,,37.5615,126.9192
,,4,,37.5615,126.9228
,,2,,37.5615,126.9851
,,3,,37.5615,126.9900
,,6,,37.5616,126.9222
,,4,,37.5616,126.9224
,,4,,37.5616,126.9225
,,3,,37.5616,126.9228
,,2,,37.5616,126.9741
,,2,,37.5616,126.9831
,,2,,37.5616,126.9871
,,2,,37.5616,126.9893
,,2,,37.5616,127.0068
,,3,,37.5617,126.9227
,,4,,37.5617,126.9798
,,2,,37.5617,126.9814
,,2,,37.5617,126.9843
,,2,,37.5617,126.9851
,,2,,37.5617,126.9865
,,2,,37.5617,126.9870
,,3,,37.5618,126.9171
,,3,,37.5618,126.9228
,,2,,37.5618,126.9825
,,2,,37.5618,126.9900
,,2,,37.5619,126.9152
,,3,,37.5619,126.9188
,,2,,37.5619,126.9222
,,2,,37.5619,126.9232
,,6,,37.5619,126.9911
,,3,,37.5619,127.0023
,,2,,37.5620,126.9210
,,3,,37.5620,126.9848
,,2,,37.5620,126.9851
,,2,,37.5620,126.9852
,,4,,37.5620,126.9854
,,3,,37.5620,126.9856
,,4,,37.5621,126.9235
,,3,,37.5621,126.9751
,,3,,37.5621,126.9812
,,2,,37.5622,126.9249
,,3,,37.5622,126.9812
,,3,,37.5622,126.9869
,,2,,37.5622,126.9877
,,2,,37.5622,126.9880
,,2,,37.5622,127.0040
,,2,,37.5623,126.9205
,,2,,37.5623,126.9256
,,2,,37.5623,126.9758
,,2,,37.5623,126.9760
,,2,,37.5623,126.9790
,,2,,37.5623,127.0063
,,2,,37.5623,127.0149
,,2,,37.5624,126.9218
,,2,,37.5624,126.9744
,,2,,37.5624,126.9747
,,2,,37.5624,126.9760
,,2,,37.5624,126.9829
,,4,,37.5624,126.9930
,,2,,37.5625,126.9201
,,2,,37.5625,126.9210
,,2,,37.5625,126.9220
,,2,,37.5625,126.9235
,,2,,37.5625,126.9242
,,2,,37.5625,126.9823
,,2,,37.5625,126.9893
,,2,,37.5626,126.9219
,,4,,37.5626,126.9230
,,2,,37.5626,126.9670
,,2,,37.5626,126.9868
,,2,,37.5626,126.9879
,,2,,37.5626,126.9897
,,3,,37.5626,126.9907
,,2,,37.5626,126.9916
,,2,,37.5626,126.9962
,,2,,37.5627,126.9743
,,3,,37.5628,126.9218
,,2,,37.5628,126.9869
,,2,,37.5628,127.0054
